candidate,policy,opportunityCount,sequentialN,meanR,pf,winRate,sumR,withoutTop5MeanR
PRE_BASE,hold,131,96,0.19122518206351144,1.5857900332084562,0.5208333333333334,18.357617478097097,0.03469347269317689
PRE_BASE,tp1,131,103,0.13229879664623956,1.4896702210793524,0.5825242718446602,13.626776054562676,0.08882899943353784
M15_BAR_POC,hold,56,45,0.5552258408807498,3.6951758703197686,0.6444444444444445,24.98516283963374,0.17419246546297157
M15_BAR_POC,tp1,56,45,0.2852527806843801,2.5609258706015123,0.6666666666666666,12.836375130797103,0.1978710255180277
FLOW_RESPONSE,hold,58,49,0.5190717292132883,3.5706300059221667,0.6122448979591837,25.434514731451124,0.17857456840443645
FLOW_RESPONSE,tp1,58,49,0.2604594353270767,2.4424975981028876,0.6326530612244898,12.762512331026759,0.17821648809670323
FLOW_ACCEPTANCE,hold,46,37,0.6479083486825868,4.379918208494913,0.6756756756756757,23.972608901255715,0.2031836076060761
FLOW_ACCEPTANCE,tp1,46,37,0.3503108604042507,3.1438509594996598,0.7027027027027027,12.961501834957275,0.2512660931307954
M5_ZONE,hold,22,21,0.6004613343582462,9.4512503813846,0.7142857142857143,12.609688021523171,0.22366923970990774
M5_ZONE,tp1,22,21,0.4231484556029062,6.955643339830403,0.7142857142857143,8.88611756766103,0.24854747735226654
M10_PRESS20,hold,38,31,0.4601029752617967,3.948444168919706,0.6451612903225806,14.263192233115698,0.0964643141123868
M10_PRESS20,tp1,38,31,0.23365592377273905,2.4973201283675386,0.6451612903225806,7.243333636954911,0.08989106865627389
M30_ALIGN_PRE,hold,80,65,0.3005021507762279,2.1268703047276043,0.5846153846153846,19.532639800454813,0.131906215324669
M30_ALIGN_PRE,tp1,80,71,0.23527263387282926,2.0785976725484256,0.6338028169014085,16.704357004970877,0.17852761961961958
M45_ALIGN_PRE,hold,77,63,0.10858402605648322,1.3101101013689374,0.49206349206349204,6.8407936415584425,-0.05977881359919191
M45_ALIGN_PRE,tp1,77,69,0.09685497353571175,1.3308603547587832,0.5507246376811594,6.68299317396411,0.02759824591856711
STALE_ALL,hold,382,347,-0.16037231652136122,0.6304116713912828,0.3919308357348703,-55.649193832912346,-0.21106883058602324
STALE_ALL,tp1,382,352,-0.1098965777054251,0.725115094290731,0.4346590909090909,-38.68359535230964,-0.12573024646031988
FRESH_PRE,hold,29,27,0.4508852317431605,3.1778155610697914,0.6296296296296297,12.173901257065333,-0.0450773506137844
FRESH_PRE,tp1,29,27,0.2248487119582242,2.3362649810909866,0.6666666666666666,6.0709152228720535,0.05383906802697877
M15_POC_M10,hold,30,23,0.5287674940162054,4.113516713392141,0.6521739130434783,12.161652362372724,0.03649445580168763
M15_POC_M10,tp1,30,23,0.2520541067060806,2.484158316820543,0.6521739130434783,5.797244454239853,0.04965606416018899
M15_POC_M30,hold,41,35,0.4394148287815255,3.1353632859336513,0.6285714285714286,15.379519007353393,0.07057381395292707
M15_POC_M30,tp1,41,35,0.2673888068862551,2.5203569248586466,0.6571428571428571,9.35860824101893,0.14790247103143134
M15_POC_M10_M30,hold,23,19,0.4899690991323426,3.593670946197718,0.631578947368421,9.30941288351451,-0.11240257449302725
M15_POC_M10_M30,tp1,23,19,0.1917597893738395,2.0150880845928243,0.631578947368421,3.6434359981029503,-0.08967870915297002
FLOW_M10,hold,31,27,0.4075973489587407,3.2749470240179366,0.5925925925925926,11.005128421885999,0.004314552100289818
FLOW_M10,tp1,31,27,0.17650066840446427,1.9851135473517463,0.5925925925925926,4.765518046920535,-0.005902736759885174
FLOW_M30,hold,40,35,0.4508788573483315,3.3448464349338014,0.6,15.780760007191603,0.10376664335629163
FLOW_M30,tp1,40,35,0.2824184792578443,2.7392707657887776,0.6285714285714286,9.884646774024551,0.1654553306417576
FLOW_M10_M30,hold,23,20,0.3852797132804745,2.704502164541429,0.5,7.7055942656094905,-0.18328017756605378
FLOW_M10_M30,tp1,23,20,0.10822074566826682,1.4787755204374438,0.5,2.1644149133653365,-0.18152175411444957
M15_POC_MICRO234,hold,22,16,0.20368684186739722,1.7356732718976717,0.5625,3.2589894698783555,-0.33925512207490544
M15_POC_MICRO234,tp1,22,16,0.1740783202343133,1.823265129031729,0.625,2.785253123749013,-0.18733107627457313
FLOW_MICRO234,hold,24,19,0.2753924436989384,2.4517189933826757,0.5789473684210527,5.2324564302798295,-0.16106922567982215
FLOW_MICRO234,tp1,24,19,0.2240631349989161,2.6645583065041842,0.631578947368421,4.257199564979406,-0.04170033255098961
